train_loss,step,epoch,100_accratio,the_val_loss,val_loss,2000_accratio,1000_accratio,500_accratio
640738.2694067528,49,0,,,,,,
606832.5671162957,99,0,,,,,,
594247.6113081534,149,0,,,,,,
638146.2305621896,199,0,,,,,,
608146.9508407104,249,0,,,,,,
556759.0149135266,299,0,,,,,,
623720.5484429768,349,0,,,,,,
687178.9440406972,399,0,,,,,,
638592.2420132967,449,0,,,,,,
593237.4483591318,499,0,,,,,,
623133.9057744758,549,0,,,,,,
588093.5568830696,599,0,,,,,,
691579.5059431426,649,0,,,,,,
642437.0600714439,699,0,,,,,,
558958.7363686761,749,0,,,,,,
628628.2349047825,799,0,,,,,,
718769.8326062444,849,0,,,,,,
626296.5333632758,899,0,,,,,,
609492.8333611644,949,0,,,,,,
619679.291773846,999,0,,,,,,
631538.7278719132,1049,0,,,,,,
734671.5292606424,1099,0,,,,,,
575913.7943816377,1149,0,,,,,,
565476.1922526464,1199,0,,,,,,
654282.1658353906,1249,0,,,,,,
628095.0214936493,1299,0,,,,,,
650249.7789925816,1349,0,,,,,,
622211.7609339016,1399,0,,,,,,
667190.6887362703,1449,0,,,,,,
633906.1466937498,1499,0,,,,,,
608068.4993867453,1549,0,,,,,,
593179.2981823626,1599,0,,,,,,
614246.1314484098,1649,0,,,,,,
632815.165833754,1699,0,,,,,,
564170.2548254734,1749,0,,,,,,
589202.6974763714,1799,0,,,,,,
572583.8425999164,1849,0,,,,,,
664072.4462615872,1899,0,,,,,,
690700.9521679642,1949,0,,,,,,
576058.8307996675,1999,0,,,,,,
604076.5660654524,2049,0,,,,,,
669855.4306009851,2099,0,,,,,,
594546.7437426662,2149,0,,,,,,
603070.564646607,2199,0,,,,,,
568059.7393632843,2249,0,,,,,,
568199.889916652,2299,0,,,,,,
611703.0396223689,2349,0,,,,,,
589532.2573768409,2399,0,,,,,,
624650.3647257694,2449,0,,,,,,
661861.7195792771,2499,0,,,,,,
608434.2556416774,2549,0,,,,,,
564571.7911681995,2599,0,,,,,,
625140.3789029936,2649,0,,,,,,
660246.9709404629,2699,0,,,,,,
612092.6637148489,2749,0,,,,,,
649706.4956683135,2799,0,,,,,,
688768.5354454571,2849,0,,,,,,
537891.6101416431,2899,0,,,,,,
632695.9788021084,2949,0,,,,,,
638435.253504071,2999,0,,,,,,
556849.8304325053,3049,0,,,,,,
571596.1326129405,3099,0,,,,,,
557307.5702083262,3149,0,,,,,,
571559.1905769062,3199,0,,,,,,
644566.6740167866,3249,0,,,,,,
505245.2650742167,3299,0,,,,,,
567717.8751847849,3349,0,,,,,,
661122.891608527,3399,0,,,,,,
594892.3535969876,3449,0,,,,,,
580803.8046392533,3499,0,,,,,,
588165.7630653359,3549,0,,,,,,
660344.9587241607,3599,0,,,,,,
624501.905660675,3649,0,,,,,,
608544.5785362843,3699,0,,,,,,
601076.3183167584,3749,0,,,,,,
591549.0004826623,3799,0,,,,,,
580763.3894558735,3849,0,,,,,,
564625.7116987386,3899,0,,,,,,
636273.9852068527,3949,0,,,,,,
664255.5684629823,3999,0,,,,,,
,3999,0,0.0064062075689435005,4707.1650390625,601614.9370511307,0.31115221977233887,0.1549670696258545,0.07971668243408203
586615.3813297933,4049,0,,,,,,
577898.1704806294,4099,0,,,,,,
690749.9007734219,4149,0,,,,,,
630352.0812034935,4199,0,,,,,,
717468.049033169,4249,0,,,,,,
700350.2863577585,4299,0,,,,,,
568633.9269408846,4349,0,,,,,,
612098.2974215045,4399,0,,,,,,
570380.6935700367,4449,0,,,,,,
540128.8957332198,4499,0,,,,,,
543824.9342507201,4549,0,,,,,,
594728.0540801956,4599,0,,,,,,
628035.770389574,4649,0,,,,,,
599195.6359289436,4699,0,,,,,,
591702.885852872,4749,0,,,,,,
556869.5577409067,4799,0,,,,,,
522710.15849456895,4849,0,,,,,,
672291.7727712083,4899,0,,,,,,
500729.8879876306,4949,0,,,,,,
640529.1911328305,4999,0,,,,,,
639288.8127585216,5049,0,,,,,,
563534.5638851444,5099,0,,,,,,
644487.1543313683,5149,0,,,,,,
549575.9415168224,5199,0,,,,,,
545000.1084431639,5249,0,,,,,,
606143.4051351491,5299,0,,,,,,
552112.5186056448,5349,0,,,,,,
610933.2054001348,5399,0,,,,,,
602671.1228064633,5449,0,,,,,,
637410.0057096273,5499,0,,,,,,
658292.8616010882,5549,0,,,,,,
640643.0095111697,5599,0,,,,,,
580470.7407983153,5649,0,,,,,,
556335.1966749333,5699,0,,,,,,
540938.7800704741,5749,0,,,,,,
617694.6735382929,5799,0,,,,,,
634762.8539729273,5849,0,,,,,,
599914.3216049818,5899,0,,,,,,
574631.4567151363,5949,0,,,,,,
538604.749777668,5999,0,,,,,,
579825.3836983737,6049,0,,,,,,
651055.8557580282,6099,0,,,,,,
613925.372372509,6149,0,,,,,,
588473.7192882317,6199,0,,,,,,
602977.5327759029,6249,0,,,,,,
555026.3011012261,6299,0,,,,,,
614728.3857704232,6349,0,,,,,,
675003.1738870487,6399,0,,,,,,
649724.6585540442,6449,0,,,,,,
603384.3174800411,6499,0,,,,,,
665833.9455523368,6549,0,,,,,,
595353.9612566393,6599,0,,,,,,
601344.7453678679,6649,0,,,,,,
571424.5346875887,6699,0,,,,,,
638067.4211426307,6749,0,,,,,,
620581.9231895857,6799,0,,,,,,
625598.2317286658,6849,0,,,,,,
572638.99138181,6899,0,,,,,,
620487.497284259,6949,0,,,,,,
622311.6262731666,6999,0,,,,,,
563043.3594631589,7049,0,,,,,,
600009.9386631291,7099,0,,,,,,
630670.162502864,7149,0,,,,,,
617864.2950074645,7199,0,,,,,,
640032.2812223181,7249,0,,,,,,
546178.653183522,7299,0,,,,,,
618152.4781872496,7349,0,,,,,,
670446.7872563008,7399,0,,,,,,
580340.4958030271,7449,0,,,,,,
620441.7044429106,7499,0,,,,,,
603016.4482563669,7549,0,,,,,,
560852.4734808607,7599,0,,,,,,
593456.8654997206,7649,0,,,,,,
612976.9548203009,7699,0,,,,,,
633775.8437843192,7749,0,,,,,,
622782.8814429401,7799,0,,,,,,
608070.8258450844,7849,0,,,,,,
629484.1426846634,7899,0,,,,,,
589095.3918813652,7949,0,,,,,,
625390.1308595026,7999,0,,,,,,
,7999,0,0.009113055653870106,4614.90576171875,590176.9294478644,0.3438599705696106,0.1761707067489624,0.08052873611450195
597676.6215639036,8049,0,,,,,,
631353.0505518982,8099,0,,,,,,
638434.2767405189,8149,0,,,,,,
692028.5645635135,8199,0,,,,,,
593011.37235293,8249,0,,,,,,
692942.5041239564,8299,0,,,,,,
581092.4642844576,8349,0,,,,,,
563538.8512548754,8399,0,,,,,,
590308.3556195216,8449,0,,,,,,
626084.9239744961,8499,0,,,,,,
553160.0211170185,8549,0,,,,,,
631473.2543928616,8599,0,,,,,,
602741.3633968187,8649,0,,,,,,
568204.9103086133,8699,0,,,,,,
563041.825710976,8749,0,,,,,,
673907.3005260595,8799,0,,,,,,
564029.7180922936,8849,0,,,,,,
575412.2427053676,8899,0,,,,,,
601158.3715656796,8949,0,,,,,,
586998.0777089356,8999,0,,,,,,
596137.6702140779,9049,0,,,,,,
576219.5241874792,9099,0,,,,,,
567925.9279384332,9149,0,,,,,,
561997.4765788303,9199,0,,,,,,
579665.7057727724,9249,0,,,,,,
584242.9593835223,9299,0,,,,,,
653883.8382656329,9349,0,,,,,,
577398.6378844515,9399,0,,,,,,
624987.4705915708,9449,0,,,,,,
575499.436272507,9499,0,,,,,,
552288.1736607178,9549,0,,,,,,
580112.3042511427,9599,0,,,,,,
535808.3645723269,9649,0,,,,,,
673118.6593038498,9699,0,,,,,,
684483.4914357616,9749,0,,,,,,
628744.6628086314,9799,0,,,,,,
508086.17110369937,9849,0,,,,,,
636197.4560344906,9899,0,,,,,,
532308.5686340202,9949,0,,,,,,
557075.6839249327,9999,0,,,,,,
605828.1229864514,10049,0,,,,,,
539308.2064408808,10099,0,,,,,,
591942.0607990391,10149,0,,,,,,
625940.6554202148,10199,0,,,,,,
562521.9030501156,10249,0,,,,,,
606710.9696208107,10299,0,,,,,,
510208.4788253034,10349,0,,,,,,
616359.0867990108,10399,0,,,,,,
553599.7108516728,10449,0,,,,,,
590893.1650376074,10499,0,,,,,,
572579.1415995547,10549,0,,,,,,
620299.756484015,10599,0,,,,,,
524014.71356684464,10649,0,,,,,,
559056.3081858794,10699,0,,,,,,
570452.2995132883,10749,0,,,,,,
672131.6877898425,10799,0,,,,,,
564257.5558152181,10849,0,,,,,,
584026.9504103624,10899,0,,,,,,
571850.6274707636,10949,0,,,,,,
581178.4513405116,10999,0,,,,,,
596505.9967105496,11049,0,,,,,,
584706.3484148529,11099,0,,,,,,
558853.4966969576,11149,0,,,,,,
567542.9582912844,11199,0,,,,,,
538702.3266025761,11249,0,,,,,,
659545.3887642659,11299,0,,,,,,
561821.4704267256,11349,0,,,,,,
636477.5514506035,11399,0,,,,,,
588138.8156378831,11449,0,,,,,,
597847.3526104256,11499,0,,,,,,
672194.8580232668,11549,0,,,,,,
536242.811833023,11599,0,,,,,,
626768.4904910896,11649,0,,,,,,
603528.4693264384,11699,0,,,,,,
589052.8458628071,11749,0,,,,,,
